broiling Grillen
detonators Detonatoren
disavowal Verleugnen
dissimulation dissimulation
garret garret
exoneration Entlastung
equipment Ausrüstung
evils Böse
evacuated Evakuiert
gamins gamins
fend fend
galsworthy galsworthy
foulards foulards
egyptologist egyptologist
fuzzier Fuzzier
dreary Langweilig
erudite gelehrt
doubting Zweifelnd
drowsiness Schläfrigkeit
dover dover
enrolees enrolees
frankincense Weihrauch
eavesdrops eavesdrops
duress Zwang
eggnog Eierlikör
forborne forborne
directors Regisseure
expostulated expostulated
divulge Verraten
duty Pflicht
federalism Föderalismus
frenchwomen frenchwomen
eyelet Öse
devolved Abgebaut
diversion Umleitung
etymology Etymologie
entrecote entrecote
footstools Fußschemel
flytrap flytrap
emplacements emplacements
emitters Emittenten
embalmer embalmer
flabbergasts flabbergasts
fertilizers Dünger
duellists duellists
feet Füße
entrenches Entrenches
foolishness Torheit
economical wirtschaftlich
dorothy dorothy
extraction Extraktion
dilly dilly
feudalising feudalising
dispossessed dispossessed
disafforesting disafforesting
farina Farina
disambiguating Disambiguieren
externalising externalising
extirpations extirpations
dongle dongle
douche Dusche
downers downers
drat drat
disassociates disassociates
emendable emendable
elegises elegises
forswore forswore
exhilaratingly exhilaratingly
gardenia Gardenie
florin florin
extracted Extrahiert
dweller Bewohner
falls Stürze
emaciated abgemagert
dispassionately dispassionately
eavesdropping lauschen
expensive teuer
escheatage escheatage
dresses Kleider
expectorates expectorates
devout fromm
flabbiest flabbiest
flared Aufgeweitet
dragnets dragnets
feudalizes feudalizes
disassociate Disassoziieren
fertilise düngen
fables Fabeln
distrains distrains
euphemisms euphemisms
disclaim Ausschreiben
exacting Anspruchsvoll
dumbwaiter dumbwaiter
forbidding Verbieten
domain domain
enfeeble entkräften
endeavour bemühen
eulogizes eulogizes
elephantine Elephantine
dispelling Zerstreuung
francium francium
dragonfly Libelle
flora flora
dishonesties dishonesties
dispossession dispossession
distempers distempers
encouragingly aufmunternd
galloping Galoppieren
frothiest frothiest
dissonance Dissonanz
discommon discommon
fatality Fatalität
dominicans dominicans
fissures Fissuren
gateau gateau
forwent forwent
equivalency Gleichwertigkeit
flawlessly Einwandfrei
flexing Biegen
fabled Fabelhaft
discourtesies discourtesies
disunion disunion
dissector dissector
encrusting encrusting
discolor verfärben
expostulates expostulates
elope Elope
exportations exportations
disciple Schüler
federalisation federalisation
framlingham framlingham
diluting Verdünnen
fabricators Hersteller
diem diem
educate erziehen
faired faired
ethelbald ethelbald
dressmaker Schneider
dialogues Dialoge
divest Veräußern
disclosing Offenbaren
fjord fjord
faces Gesichter
freeloaded freeloaded
everywomen everywomen
duplicable duplicable
exhaustively Erschöpfend
fortifies Verstärkt
featherbed featherbed
dillies dillies
disrupters disrupters
dignity Würde
developmental Entwicklung
eructs eructs
flawless makellos
elucidation Aufklärung
dowsers dowsers
externalise externalise
earthling Erdling
fidgety zappelig
feasibly feasibly
friendless ohne Freunde
dioramas dioramas
druid druid
despatched despatched
dills dills
floss Zahnseide
flyspeck flyspeck
ethnological ethnological
doli doli
forth Weiter
free frei
electrophoresis Elektrophorese
entrained Mitgerissen
erring erring
freethinker freethinker
foreordaining foreordaining
discomposes discomposes
femicides femicides
disqualifies disqualifies
felts felts
ferae ferae
forager forager
ethnical ethnical
extinguishable extinguishable
deserter Deserteur
flytraps flytraps
formability Formbarkeit
disintegrative disintegrative
fascinators fascinators
echoing Widerhallend
empathize Empathisieren
drenching Durchnähen
emigrate auswandern
dysgenic dysgenic
flaxseed Leinsamen
erosive Erosiv
dreamland dreamland
entendres entendres
electrostatic electrostatic
flutist flutist
developmentally Entwicklungsweise
desertion desertion
ester ester
gastronome gastronome
electricity Elektrizität
extricates extricates
discoloring Verfärben
fatiguing ermüdend
dispersions Dispersionen
gap Spalt
gallup gallup
fission fission
flatted flatted
errata errata
flailing flailing
falsified Verfälscht
fitments fitments
encumbered Belastet
fatuous Müde
esteemed Geschätzt
emil emil
filigreed filigreed
dotingly dotingly
gaoling gaoling
disembody disembody
devoted hingebungsvoll
funnier Lustiger
durante durante
dora dora
fairs fairs
flocked Geflockt
fascinates Fasziniert
edged Umrandet
doublets doublets
earwig earwig
filing Einreichung
embargo embargo
explaining Erklären
exegesis Exegese
dicer dicer
duellist duellist
easterners easterners
evenly gleichmäßig
flappers flappers
electronics Elektronik
dispraise dispraise
escorting escorting
exhibitions Ausstellungen
follows Folgt
discomforts Beschwerden
discolors discolors
empathy Empathie
embryo embryo
disputant disputant
diffusely Diffus
epistolary epistolary
extempore extempore
encyclopedic Enzyklopädischen
fired Gefeuert
desensitized Desensibilisiert
dwindles Schwindelt
dimensioned Dimensioniert
examen examen
dichotomised Dichotomiert
eviction Vertreibung
exempli exempli
engulfed Verschlungen
diocesan diocesan
drunker drunker
franchisees Franchisenehmer
gateposts gateposts
enclave Enklave
desiccation Trocknung
diastole diastole
doors Türen
emergencies Notfälle
fibbing fibbing
feldspars Feldspars
enraging enraging
dialectally dialectally
draggling draggling
epsom epsom
gasping Keuchend
disintegrated Zerfallen
edmunds edmunds
gapping gapping
elaborate erarbeiten
egalitarian Egalitär
expropriations Enteignungen
exhibited Ausgestellt
dividable dividable
floe Scholle
flirtatious kokett
founding Gründung
embody verkörpern
enlisting Eintreffen
exporter Exporteur
diane diane
disagreements Meinungsverschiedenheiten
doggies doggies
euphrates euphrates
diverging Divergieren
embedded eingebettet
divides Teilt sich
embellishment Verschönerung
endorsees endorsees
dismounted Abgestiegen
fusspot fusspot
downrange Downrange
excitements Aufregung
earshot Earshot
fraught Frau
firetraps firetraps
dispensation Dispensation
disembarrasses disembarrasses
duffs duffs
dioxides dioxides
distinctiveness Unterscheidungskraft
foeticide foeticide
funs funs
enhancement Erweiterung
displaces Verdrängt
felicitate felicitate
doggie Hündchen
gainer gainer
fedora fedora
externalised externalised
faultier faultier
eponyms eponyms
entered trat ein
disarranging disarranging
desolders desolders
disembarkation Ausschiffung
enthuses Begeistert
enclitics enclitics
draw zeichnen
forceps Zange
frowning Stirnrunzelnd
eyecups eyecups
flowage flowage
dfc dfc
dockyard Werft
erections erections
frankfurter frankfurter
expurgations expurgations
flitch flitch
gammons gammons
dotis dotis
garnishments Pfändungen
ecumenical Ökumenisch
ductility Duktilität
euphoric euphorisch
engrave gravieren
firebombs firebombs
faltering Schwankend
extender extender
fluffing Flusen
feodaries feodaries
ethereal ätherisch
elatedness elatedness
drenched Durchnässt
dispense dosieren
gad gad
exploding Explodieren
envisaged Vorgesehen
eucharist eucharist
fleas Flöhe
dewlap Wamme
enwrapped enwrapped
foggier Foggier
ducked Ducked
dismembering dismembering
editorializing editorializing
diplomas Diplome
echinoderms Stachelhäuter
expatiate Expatiate
fantastically fantastisch
ferry Fähre
estrepement estrepement
determinacy determinacy
dilapidates dilapidates
eke Eke
fronts Fronten
finalist finalist
dictating Diktieren
fingernails Fingernägel
gasify vergasen
flatware Besteck
foliating foliating
featherbeds featherbeds
everyplace everyplace
dobermans dobermans
double doppelt
fagot fagot
embower embower
dogmatic dogmatisch
durability Haltbarkeit
formata formata
excavates Ausgegraben
emcee Emcee
endpoints endpoints
diddles diddles
digama digama
discoid discoid
dumbstruck dumbstruck
existentialism Existentialismus
enlargements Erweiterungen
dissuasive Abschreckend
executors Ausführenden
flashing Blinkt
fulminated fulminated
dioceses dioceses
enoch enoch
ecosystem Ökosystem
foregoes foregoes
disgruntle disgruntle
endear Endear
fashions Moden
disenfranchisement Entfremdung
fauns Fauns
douched douched
forestall Vorsichtig
fret Bund
eighty achtzig
digitization Digitalisierung
forbearing langmütig
effervescence Sprudeln
farleus farleus
floored Geschliffen
flapping Flattern
disquietingly Beunruhigend
dope Dope
flagships flagships
feodary feodary
faithfulness Treue
entrepreneurial Unternehmerisch
frosting Glasur
emu emu
drunkenly Betrunken
gabriel gabriel
divulges Verbreitet
dulled abgestumpft
ejaculated Ejakuliert
evergreen immergrün
disappoints disappoints
falseness falseness
expressway expressway
frontispieces frontispieces
formlessly formlessly
fantasia Fantasie
eternalising eternalising
distributes Verteilt
extravaganza Extravaganz
forint forint
evocation Evokation
dodecagons dodecagons
drubbing drubbing
dispenses dispenses
gashes gashes
despotically Despotisch
epicureanism epicureanism
facere facere
fussiness Umständlichkeit
garage garage
gapped gapped
gardens Gärten
drained Entwässert
elephantiasis Elefantiasis
gallivanted gallivanted
fist Faust
frivolously Frivol
discountenance discountenance
dosage Dosierung
fiats fiats
filiation filiation
disorganization Disorganisation
frontispiece Frontispiz
essentials Wesentliche
falklands Falklands
expostulations expostulations
doffing Abnehmen
gallivanting gallivanting
fiberglas fiberglas
encroaching Eindringend
dinkiest dinkiest
foaminess foaminess
dislocate verrenken
donuts Donuts
exposure Belichtung
displeasingly displeasingly
encroachments Eingriffe
disorientating disorientating
evict evict
disarm entwaffnen
endeavor bemühen
excitingly Aufregend
falsity Falschheit
determiners Determiners
duping duping
exclamatory Ausrufe-
distribute verteilen
dowses dowses
gaps Lücken
fallaciousness fallaciousness
garble verstümmeln
fog Nebel
elitism Elitismus
disinherited Geerntet
feudalistic feudalistic
embodiment Verkörperung
devastated Verwüstet
expendere expendere
gate Tor
endless endlos
fluctuating schwankend
encyclical Enzyklika
fattening Mast
explained Erklärt
flakes Flocken
drool sabbern
fiberglass Glasglas
duckbill duckbill
exporting Exportieren
fulfillment Erfüllung
distract ablenken
discriminates Diskriminiert
dunlop dunlop
fluoresces fluoresces
fossilise fossilise
exorcists Exorzisten
disorderliness Unordnung
diarists diarists
dyne Dyne
drawbridge Zugbrücke
exculpatory Exculpatory
divans Göttlich
flame Flamme
diatribe Schmährede
forgivably forgivably
elapsed Verstrichen
fickler fickler
eradicators eradicators
expunge Ausstoßen
filibustered filibustered
donegal donegal
dissatisfaction Unzufriedenheit
educating Erziehen
fetlocks fetlocks
discount Rabatt
expelled ausgewiesen
fashionably fashionably
desolated desolated
everlasting Ewig
fairways fairways
form bilden
estimably estimably
effused effused
disqualifying Disqualifizieren
diapers Windeln
detoxification Entgiftung
discomposed discomposed
dunghills dunghills
dividends Dividenden
evacuating Evakuieren
ft ft
fiascos fiascos
eddisbury eddisbury
fatale fatale
eyestrain eyestrain
epochs Epochen
disorganise disorganise
floodlight Scheinwerfer
erica erica
explicator explicator
falsetto Falsett
divide Teilen
disinfectant Desinfektionsmittel
flub flub
distort verzerren
ferrets Frettchen
flatlets flatlets
expurgating expurgating
desensitising desensitising
garenes garenes
encrusted Verkrustet
gash Gash
ewers ewers
femora femora
distinguishable unterscheidbar
forevermore Für immer
faithlessness Untreue
dialog Dialog
featuring Mit
douses douses
expropriating Enteignung
eulogize Eulogize
galaxy Galaxis
fripperies fripperies
gaffs gaffs
discouraging entmutigend
europeans Europaeien
directory Verzeichnis
footbridge Steg
folly Torheit
dispraising dispraising
freddy freddy
elections Wahlen
disorganized Unorganisiert
ephemeral Kurzlebig
encephalitis Enzephalitis
diana diana
frequently häufig
dispensability Entbehrlichkeit
entree Hauptgericht
feoffees feoffees
garlic Knoblauch
fragrances Duften
flusters flusters
driest Trockenste
detective Detektiv
disheveling disheveling
ewages ewages
diversify Diversifizieren
facsimile Faksimile
farcically Farcically
forestry Forstwirtschaft
footstep Schritt
emendation Korrektur
flumes Raumes
designates Bezeichnet
discoloration Verfärbung
exhibitant exhibitant
fortifying Verstärkung
donald donald
estate Immobilien
extenuating extenuating
editorialised editorialised
despotism Despotismus
foliage Laub
foetal Fetalen
excrement Kot
finished fertig
flashier flashier
flexibility Flexibilität
epstein epstein
discomfort Beschwerden
earpieces Ohrhörer
escheats escheats
floret floret
frightens Erschreckt
fibrinogens fibrinogens
feudatories feudatories
elegised elegised
disorders Störungen
foregrounds foregrounds
elfin Elfin
endorsed Unterstützt
dismissals Entlassungen
domesticity domesticity
foster fördern
flyaway flyaway
finites finites
dextrously dextrously
dismayed Bestürzt
ethiopian äthiopisch
emulated Emuliert
enrages enrages
fans fans
fiction Fiktion
friday Freitag
equable equable
favourers favourers
doling doling
ellipsoid ellipsoid
encrypting Verschlüsseln
diagrams Diagramme
embrace Umarmung
failure Fehler
empathising Einfühlen
desiccates desiccates
dob dob
firebricks firebricks
gangrening gangrening
fists Fäuste
determining Bestimmen
does Tut
echidnas echidnas
elegized elegized
feuded feuded
doodle Gekritzel
expanding Erweitern
formality Formalität
garages Garagen
favoring Begünstigung
eternal ewig
gadget Gadget
foal Fohlen
dubs dubs
enumerative enumerative
forthright offen
enrolling Einschreibung
escargot Escargot
forge Schmiede
fright Schreck
flicking Flicking
entendre entendre
dialled Gewählt
financed Finanziert
earthy erdig
gallant galant
elicitor elicitor
enfeebled Geschwächt
fractious Zerbrechlich
fertilizes Befruchtet
dmus dmus
edifies Erbaut
ecologist Ökologe
example Beispiel
drums Schlagzeug
differentially unterschiedlich
engirding engirding
exedra exedra
elusiveness Flüchtigkeit
gasmen gasmen
functionalism Funktionalismus
dichromatic dichromatic
foucault foucault
extensor Extensor
fliers fliers
diffident Diffident
eyam eyam
florins florins
fevered Fiebrig
dispels Zerstreut
dotard dotard
easements Erleichterungen
footfall Schritt
disparity Ungleichheit
fireman Feuerwehrmann
fungal Pilz-
enduring Dauerhaft
fearlessness Furchtlosigkeit
engaging Engagieren
distortable distortable
doubted Bezweifelt
dutchman Holländer
dramatize dramatisieren
disarms Entwaffnet
drugs Drogen
formica formica
drier drier
extortionist extortionist
enticement Verführung
elevenses elevenses
escapists Eskapisten
dressing dressing
extenuate extenuate
femurs Femurs
donatarius donatarius
garths garths
fluency Fließend
gaming Gaming
fawning Fawning
estates Grundstücke
erection erection
ethel ethel
easygoing easygoing
ferrari ferrari
dilators Dilatatoren
evensongs evensongs
finite endlich
folklorist folklorist
forgiveness Vergebung
forearms Unterarmen
dividing Teilung
flue Rauchabzug
droopiest droopiest
dunks dunks
disemploys disemploys
dilapidating dilapidating
forbids Verbietet
fidgeting Zappeln
enamels Emailliert
fugators fugators
extradites extradites
dismounting Abbauen
expedition expedition
fiends Teufel
duffers duffers
edwardian edwardian
existed Existiert
foyle foyle
favorably günstig
electrolysing electrolysing
du du
fives fives
discontinuity Diskontinuität
dispersible Dispergierbar
emit emittieren
enrolments enrolments
devaluing Abwerten
fortissimos fortissimos
evanescently evanescently
funding Finanzierung
eyeball Augapfel
entanglements Verwicklungen
dialectics Dialektik
drones Drones
eulogizing Eulogisieren
eta eta
extirpates extirpates
downstairs unten
ducky Ducky
europeanizes europeanizes
fingerlings fingerlings
disclaimers Haftungsausschluss
erskine erskine
draper draper
dubitante dubitante
fertilised befruchtet
eligible Förderfähig
exasperated Verärgert
equestriennes equestriennes
driers driers
direful direful
escheator escheator
ensiles ensiles
dogmatist dogmatist
embattle embattle
donate spenden
emblazons emblazons
emanate ausgehen
formidably formidably
further des Weiteren
ferro ferro
drama drama
faker Schwindler
fainting Ohnmacht
earmarks earmarks
farmsteads Gehöfte
fauteuils fauteuils
ecstasy ecstasy
dolomite Dolomit
disputability disputability
emoted emoted
gal Gal
devoid Frei
ethics Ethik
flagella Flagella
distributors Verteiler
fangs Zähne
doe Damhirschkuh
factors Faktoren
gallon Gallone
electronegative electronegative
diffusers Diffusers
excises Excises
eclipse Finsternis
distressing Beunruhigend
exacerbating Verschärfen
edification Erbauung
dilation Erweiterung
eaters Esser
ecru Ecru
epode epode
faille faille
encouraging ermutigend
disrate disrate
evidences Bezeugungen
flitted Flitzte
egregiously egregiously
executioners Henker
disinterest Desinteresse
doughnut Krapfen
enrollment Einschreibung
disturbingly störend
domesticities domesticities
electrify elektrifizieren
forfeit einbüßen
egoistically Egoistisch
embezzler embezzler
emulsifier Emulgator
flatteries Schmeicheleien
forehead Stirn
garfishes garfishes
flowed ist geflossen
euclidean Euklidischen
entrance Eingang
dialysed Dialysiert
discorporate discorporate
etymologists etymologists
eloign eloign
gabled gabled
exactness Genauigkeit
extruding Extrudieren
epping epping
freehand freihändig
fenians fenians
entangles Verwickelt
extrapolates Extrapoliert
expansionists expansionists
finical finical
examined Untersucht
evolutionists evolutionists
fleshier fleshier
fizz Fizz
festas festas
desks Schreibtische
foolhardiest foolhardiest
emendated emendated
drumlin drumlin
detractions detractions
galvanisation Galvanisierung
faulty Defekt
falsehoods Falschigkeiten
frijoles frijoles
forgers Forgers
ebonies ebonies
djibouti djibouti
falsifying Verfälschen
formatted Formatiert
excision Exzision
furling furling
disgorging disgorging
devastation Verwüstung
erodes Erodiert
felling Fällen
floundering Schwankend
enfeoffment Enfeoffment
drools drools
enceinte enceinte
featherbedded featherbedded
edemas Ödeme
disinterestedness Uninteressiertheit
famish famish
dirge dirge
fused Verschmolzen
ergonomically Ergonomisch
doorknobs doorknobs
flapped Gefaltet
dissolution Auflösung
exemplum exemplum
dusters Staubtücher
formaldehyde Formaldehyd
farfetched farfetched
devaluate devaluate
gagging gagging
gallows Galgen
endoplasm Endoplasma
droughts Dürren
distil destillieren
fidelities fidelities
desiderata desiderata
egalitarianism Egalitarismus
ejaculators ejaculators
expansion Erweiterung
gaily fröhlich
earldom earldom
garrote garrote
fireboxes fireboxes
finagled finagled
estray estray
fanged fanged
empirical empirisch
equinox Tagundnachtgleiche
devonport devonport
gabbling Gabbling
easter Ostern
facelifts facelifts
discomfiture Unbehagen
extravaganzas Extravaganzen
escalators Rolltreppen
dogma dogma
equivocation Zweideutigung
downtown Innenstadt
dialyzed Dialysiert
disbanded Aufgelöst
endue endue
doodlebug doodlebug
destabilized Destabilisiert
epistemologies epistemologies
framer framer
fried gebraten
encircle umgeben
exuded exuded
elysee elysee
edibility Genießbarkeit
designate benennen
faversham faversham
drilled Gebohrt
desisted Abgestorben
forename Vorname
employees Angestellte
deterrents Abschreckend
ethnography Ethnographie
escorts escorts
desperate verzweifelt
disturbances Störungen
detests Verabscheut
elution elution
friskily friskily
dustier dustier
detaining Festhalten
encountered Begegnet
fragrantly fragrantly
fraying Ausfransen
encasements encasements
eat Essen
footrest Fußstütze
fissure Spalt
flinging flinging
gangbuster gangbuster
enterprise Unternehmen
escudo escudo
endogenous Endogen
falsifications falsifications
gabfests gabfests
diurnally Täglich
fumble fummeln
garrotted garrotted
diverged Divergiert
disbars disbars
eyelash Wimper
duvets Decken
fuchsias fuchsias
estovers estovers
dirty dreckig
docked Angedockt
elegizing elegizing
dormouse Siebenschläfer
enflame enflame
ergot Mutterkorn
elemental Elementare
ferreted Frettchen
diddle diddle
edginess Nervosität
diligence Sorgfalt
flatbeds flatbeds
elegance Eleganz
dulcimer Hackbrett
finals Finale
eliciting Auslösen
extracts Auszüge
drawbridges drawbridges
drought Dürre
easington easington
eloignment eloignment
diatomite diatomite
farmyards farmyards
eighteenths eighteenths
dorsally Dorsal
exhaustion Erschöpfung
doberman Dobermann
dowress dowress
drummed Getrommelt
endemic endemisch
feral Wilder
fandangos fandangos
fluted Geriffelt
founders Gründer
explicates Expliziert
exited Verlassen
feticide feticide
edifice Gebäude
fakers fakers
ferments Fermenten
didactics Didaktik
fratricides fratricides
fullness Fülle
fifteenth Fünfzehnten
empathises empathises
despoiled Beschlagnahmt
dovecote Taubenschlag
fusible schmelzbar
exact genau
frontiersman Grenzer
esters Ester
drawings Zeichnungen
eventually schließlich
eagerness Eifer
enthusiasms enthusiasms
downside Nachteil
dieppe dieppe
explosively explosiv
dusting Staubend
embouchures embouchures
flightier flightier
dispiritedly entmutigt
frivolous frivolous
enforces enforces
everything alles
divided geteilt
fishtail fishtail
dubai dubai
entitled berechtigt
elective Wahlweise
europeanised europeanised
dimness dimness
dunn dunn
dubrovnik dubrovnik
didymium didymium
extorted Erpresst
flatmate Mitbewohner
emulsifies Emulgiert
enthalpy Enthalpie
filters Filter
disobliges disobliges
extremities Extremitäten
effectuating effectuating
equalized Ausgeglichen
enthralment enthralment
dextrous dextrous
dyslectics dyslectics
funniest am lustigsten
enumerator enumerator
farnham farnham
flamenco flamenco
diminuendo diminuendo
foolishly töricht
espied Espied
feign vortäuschen
fangled fangled
destabilises destabilises
dodges weicht aus
enrolled Eingeschrieben
fern Farn
fraternized fraternized
doctors Ärzte
envoys Gesandten
enameled Emailliert
foresight Voraussicht
dossiers dossiers
didactically Didaktisch
falloffs falloffs
desolation Verwüstung
donnas Donnas
funky Funky
equivocal Zweideutig
earlier vorhin
eradicator eradicator
discolours discolours
egg Ei
ensure dafür sorgen
freight Fracht
futons futons
divine göttlich
equestrians Reiter
elasticized elasticized
enrollees Enrollees
garnishee garnishee
disintegrates Zerfällt
exceeding Überschreiten
doit doit
dichloride dichloride
draperies Drapieren
domesticates domesticates
discernment Unterscheidung
fugitives Flüchtlinge
evades Entzieht sich
did Hat
encumber belasten
edelweiss Edelweiß
est est
encyclicals encyclicals
folks Leute
flibbertigibbets flibbertigibbets
desists Abwesend
fetishism fetishism
docker docker
dodgier dodgier
dicky Dicky
fallibility Fehlbarkeit
fractionally Fraktionell
falteringly falteringly
felicitating felicitating
filterable filterable
etiology Ätiologie
endow schenken
forestarius forestarius
feeble schwach
fuzziness Unschärfe
exigent exigent
ere ere
endearments Zärtlichkeiten
flunky flunky
drawbacks Nachteile
expropriates expropriates
eyelid Augenlid
frees frees
fogging Beschlagen
doormats Fußmatten
expanders Expanders
disharmony Disharmonie
fleetness fleetness
doodads doodads
formers formers
frocks Kittel
estimator Schätzer
dexterity Geschicklichkeit
fetches Holt
disoriented Desorientiert
donning Anziehen
dies stirbt
domicil domicil
furbishing Stören
fondants fondants
divinities Göttlichen
disaffirms disaffirms
dubiosity dubiosity
exemplified Veranschaulicht
emergence Entstehung
dubious Zweifelhaft
flintiest flintiest
dreadnoughts dreadnoughts
diaper Windel
frantic Hektisch
emus emus
dip tauchen
excursionist excursionist
gale Sturm
foams Schaumstoffe
divert umleiten
ford ford
economies Volkswirtschaften
gangsters Gangstern
extradited extradited
donkeys Esel
embarkation Einschiffung
discuss diskutieren
excusator excusator
flits flits
evaporated Verdampft
expositors expositors
dumpsites dumpsites
dribs dribs
filmography filmography
eclogues eclogues
galvanization Galvanisierung
executrixes executrixes
fronton fronton
flouts Schlägt
emending emending
entertained Unterhalten
entourage Gefolge
fuchsia Fuchsie
extendible Ausziehbar
eglantines eglantines
fractional Fraktional
domineer domineer
entombment Entombment
dressage dressage
effulgence effulgence
ethnobotanies ethnobotanies
ejectors Ejektoren
discomforted discomforted
dinkier dinkier
eventualities Eventualitäten
fresh frisch
elsewhere anderswo
ferric Ferrisch
dodos dodos
fadeout fadeout
everywoman everywoman
enlist gewinnen
drawknife drawknife
filiate filiate
diverts Umleitet
french Französisch
divas Divas
despondence despondence
farnborough farnborough
foreigners Ausländer
dint dint
gallop Galopp
floral Blumen-
exhales Ausatmet
egotistically Egoistisch
disturbed gestört
etude Etüde
furthest am weitesten
foreseeing Vorhersehen
dovedale dovedale
frond Wedel
dreamlands dreamlands
finland Finnland
frijol frijol
effectual effectual
disputes Streitigkeiten
falkland Falkland
garlanding garlanding
enchains enchains
garner garner
effluvium effluvium
follicle Follikel
duellers duellers
dispenser Spender
expels Vertreibt
dictum dictum
disorientated disorientated
extremes Extreme
extremum extremum
effusion Erguss
fitfully fitfully
fleaworts fleaworts
exclaiming Rief aus
equaled equaled
disciplinarian Zuchtmeister
fricassee fricassee
desensitised Desensibilisiert
gauche Gauche
fairbourne fairbourne
dynode dynode
exempted Befreit
evolved Entwickelt
disagreeableness disagreeableness
forest Wald
epidermal Epidermal
exotically exotically
extremeness extremeness
disruptively disruptively
disastrous Verheerende
emigrants Emigranten
dipsomaniac Dipsomaniac
foxboro foxboro
galosh Galosche
elusive Schwer fassbar
eyebright eyebright
disrobed disrobed
fannie fannie
emphasizes Betont
fogy fogy
desiccants desiccants
ecclesiastically ecclesiastically
dissented dissented
entails entails
furnished möbliert
domiciling domiciling
gaffed gaffed
externalized Externalisiert
diversity Vielfalt
exaction Forderung
disappointments Enttäuschungen
effortlessness Mühelosigkeit
festa festa
dutifully dutifully
farrier Hufschmied
flexural Biege-
fugal fugal
encumbers Verschwindet
entebbe entebbe
fresnel fresnel
fuddled Verwirrt
drachma Drachme
dynamometers Dynamometer
detonate Detonieren
gastrula gastrula
em em
fenders Kotflügel
disbelieves disbelieves
eructed eructed
garnered Gesammelt
enforcing Durchzusetzen
fleetingly flüchtig
floodwater floodwater
evanesces evanesces
fluctuated fluctuated
discriminations Diskriminierungen
felines felines
gardened gardened
fantasises fantasises
economises economises
gambia gambia
foundling foundling
floorboards Dielen
fends fends
fibreglass Glasglas
editorializes editorializes
energised Erregt
dynamiting dynamiting
entireties entireties
flubbed flubbed
engagingly engagingly
deserves verdient
fairfax fairfax
fraternal Brüderlich
discourteously Unhöflich
efficacy Wirksamkeit
garfield garfield
dreariness Trostlosigkeit
dodders dodders
flemish flemish
facial Gesichts-
efforts Bemühungen
erwin erwin
factually Sachlich
expiring Auslaufend
disestablishment disestablishment
firstling Erstling
endogamous endogamous
detoxifies Entgiftet
expediencies expediencies
futurologist futurologist
fishery Fischerei
flints Feuersteine
freewheel Freewheel
enters Betritt
fluffiness fluffiness
ethyl Ethyl
dowable dowable
dispaupers dispaupers
feed Futter
discommoning discommoning
flick Flick
doubtingly doubtingly
dunned dunned
dextrally dextrally
divvying divvying
enlargement Erweiterung
dissidents Dissidenten
eardrums eardrums
flogger flogger
factional factional
downgrade Downgrade
dissolving Auflösung
diverting Ablenkung
floggers floggers
domineering herrschsüchtig
dieticians dieticians
drifted Getrieben
excruciate quälen
farmhouse Bauernhaus
dordogne dordogne
effluxion effluxion
discommoded discommoded
expurgators expurgators
duplications Duplikationen
detrains detrains
filth Schmutz
exothermic Exothermisch
desuetude desuetude
equivocators equivocators
fopperies fopperies
egos egos
expire verfallen
fas fas
downpours Stürmt
distractibility Ablenkbarkeit
downplayed Heruntergespielt
distrained distrained
disencumbered disencumbered
fieriness fieriness
disarrayed disarrayed
furls furls
drollest drollest
exorcises exorcises
doorbells Türklingel
downloaded Heruntergeladen
fatten mästen
enplaning enplaning
disseising disseising
federalise federalise
elected Gewählt
exulting Jubeln
ferule ferule
evangelistic Evangelistisch
enriches Bereichert
eyebolt eyebolt
eft eft
dumbly dumbly
dingiest dingiest
enmeshed Verstrickt
englishwomen englishwomen
discords Discords
fighter Kämpfer
eatables eatables
footings Fußstücke
disheartened Entmutigt
easy einfach
disgraces Schändlichkeiten
flourish blühen
executor Testamentsvollstrecker
dissuades Abschreckt
fishmonger fishmonger
effloresced effloresced
elopements elopements
forested bewaldet
furbelow Falbel
ducks Enten
effloresces effloresces
enthusiasm Begeisterung
fruity fruchtig
dowdily dowdily
extortionate Erpresserisch
estraying estraying
fad Mode
erotic erotic
esteems esteems
forecasted Prognostiziert
fatalistic fatalistisch
driveways Einfahrten
dwight dwight
esau esau
flamed Geflammt
enamored Verliebt
endangers Gefährdeten
frizzling frizzling
enflaming enflaming
entrap Einpacken
furness furness
frighten erschrecken
fallacies Falken
favour Gefallen
folded Gefaltet
dissociated Dissoziiert
embezzlement Unterschlagung
ganglion ganglion
dignities dignities
farmstead Gehöft
endorser Endorser
filthily filthily
disneyland disneyland
dublin dublin
ensconcing ensconcing
galvanising Verzinkt
extenders Verlängerte
embroilment Verwicklung
evaluator evaluator
disgruntling disgruntling
elegant elegant
evacuators evacuators
eurodollar eurodollar
entailments Beeinträchtigungen
favors Begünstigt
effluents Abwässer
ethane ethane
dribble dribbeln
discerned Erkannt
forewarn Forewarn
engineer Ingenieur
details Details
flips flips
docilely docilely
flout Flout
digestible verdaulich
fitch fitch
faux faux
distrusting Mißtrauen
freolings freolings
eyepiece Okular
fake Fälschung
felicitated felicitated
euro euro
fuddle Flüstern
drives fährt
disdainful Verächtlich
determiner Bestimmt
erupted Ausgebrochen
drugged Betäubt
dispiriting Entmutigend
dissemination Verbreitung
embarrassment Verlegenheit
distrainors distrainors
gamblers Gamler
dice Würfel
donatio donatio
explicating Explizit
